"","nit","en_vm_canal1","en_vm_canal2","en_vm_canal3","en_vm_canal4","en_vm_canal5","en_vm_canal6","en_vm_canal7","en_vm_canal8","en_vm_canal9","en_vm_canal10","en_vm_otros","en_tx_canal1","en_tx_canal2","en_tx_canal3","en_tx_canal4","en_tx_canal5","en_tx_canal6","en_tx_canal7","en_tx_canal8","en_tx_canal9","en_tx_canal10","en_tx_otros","sal_vm_canal5","sal_vm_canal2","sal_vm_canal8","sal_vm_otros","sal_tx_canal5","sal_tx_canal2","sal_tx_canal8","sal_tx_otros","impo_cv","expo_vt","cxp","cxc","totalinventory","pagos_pj","pagos_pn","tiene_ventas_fisicas","tiene_ventas_electronicas","recaudos_pj","recaudos_pn","rotacion_inventarios","rotacion_cxc","rotacion_cxp","ciclo_negocio","ciclo_financiero","tot_entradas_anuales","tot_entradas_mensuales","tot_salidas_anuales","tot_salidas_mensuales"
"1690","C5356936724271326484",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,2,1,0.456,0.544,0,0,0,0,2,3,1,4,4,821861461.72,26.265151518,661434322.8,204.25
"1691","C2345903595700797658",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,4,0.136,0.864,1,0,0,0,6,2,3,6,6,578568157.74,52.791666666,326155467.3,91.25
"1692","C3338100451030377400",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,6,2,6,0.404,0.596,1,0,0,0,4,1,4,4,2,15529310123.25,12535.18939431,12490313768,1668.5000003
"1693","C4305626675384014866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,6,0.977,0.023,0,0,0,0,6,1,4,6,6,0,0,0,0
"1694","C668206276323996531",1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,6,1,2,6,6,346358394.99,10.666666667,51011139.18,3.090909091
"1695","C2767348695168516029",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,4,3,2,0.804,0.196,1,0,0,0,2,3,4,4,1,3015449797.1,236.316666697,2821529817,70.98333333
"1696","C5545972398329699214",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,2,2,3,3,2,1,0,0,0,0,0,1,2,4,3,1,4129543244.91,256.3333333,1262251338,51.22222222
"1697","C1878572717213733877",1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,4,3,2,3,2,0.625,0.375,0,0,0,0,4,4,3,6,6,1298738929.7,62.957575751,1313149693,82.507575761
"1698","C8676134028545395201",1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,2,4,0,0,0,0,0.034,0.966,6,2,1,6,6,2192801099.88,150.505952417,552189020.4,10.5
"1699","C3791759675336879426",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2,0.778,0.222,0,0,0,0,6,4,1,6,6,593308790.21,6.650793651,190438671.9,4.9
"1700","C1167939583625949425",1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,2,2,2,0.052,0.948,0,0,0,0,1,1,1,1,1,2094340835.45,525.24999996,756838187.4,457.6666667
"1701","C5107770118586417219",1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,2,2,6,0.552,0.448,0,0,0,1,6,4,4,6,6,3841713512.46,81.233333336,2954717320,461.5416667
"1702","C1071040552073183742",1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,4,5,4,0.52,0.48,0,0,0,0,3,3,3,5,4,4994960991.85,1240.277777804,3452857015,592.1666667
"1703","C5400895854052432625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0
"1704","C7657318906669615488",1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,6,4,0.205,0.795,0,0,0,0,5,4,2,6,6,286457151.9,11.249999999,249270057.6,163.0833333
"1705","C2320324493494372375",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,6,6,6,0.28,0.72,0,0,0,0,1,2,2,2,2,35166527175.01,1245.588023021,18791376037.6,2923.818181818
"1706","C8333671778972647950",1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,2,2,1,2,1,0.138,0.862,1,0,0,0,1,1,1,2,2,4552250197.64,3626.583333006,1521423791.7,232.8055556
"1707","C6042471744785428649",1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,4,1,6,0.153,0.847,0,1,0,0,6,1,4,6,6,2971614228.88,408.33333337,3083297111,1579.833333
"1708","C1700777772834979572",1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,5,2,0.395,0.605,1,1,0,0,6,4,4,6,5,714020162.46,1462.819047616,0,0
